Company,Item,Calories,"Total Fat
(g)","Saturated Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)",Item Type
McDonald’s,Chicken McNuggets® (6 piece),280.00 ,18.00 ,3.00 ,40.00 ,540.00 ,18.00 ,1.00 ,0.00 ,13.00 ,LD
McDonald’s,Chicken McNuggets® (10 piece),470.00 ,30.00 ,5.00 ,65.00 ,900.00 ,30.00 ,2.00 ,0.00 ,22.00 ,LD
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400.00 ,24.00 ,3.50 ,50.00 ,"1,010.00 ",23.00 ,0.00 ,0.00 ,23.00 ,LD
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),660.00 ,40.00 ,6.00 ,85.00 ,"1,680.00 ",39.00 ,0.00 ,0.00 ,38.00 ,LD
McDonald’s,Premium Southwest Salad with Grilled Chicken,320.00 ,9.00 ,3.00 ,70.00 ,960.00 ,30.00 ,6.00 ,11.00 ,30.00 ,LD
McDonald’s,Premium Southwest Salad with Crispy Chicken,430.00 ,20.00 ,4.00 ,55.00 ,920.00 ,38.00 ,6.00 ,12.00 ,26.00 ,LD
McDonald’s,Premium Southwest Salad (without chicken),140.00 ,4.50 ,2.00 ,10.00 ,150.00 ,20.00 ,6.00 ,6.00 ,6.00 ,LD
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260.00 ,9.00 ,4.00 ,90.00 ,"1,010.00 ",12.00 ,3.00 ,5.00 ,33.00 ,LD
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370.00 ,20.00 ,6.00 ,75.00 ,970.00 ,20.00 ,3.00 ,6.00 ,29.00 ,LD
McDonald’s,Premium Bacon Ranch Salad (without chicken),140.00 ,7.00 ,3.50 ,25.00 ,300.00 ,10.00 ,3.00 ,4.00 ,9.00 ,LD
McDonald’s,Premium Caesar Salad with Grilled Chicken,220.00 ,6.00 ,3.00 ,75.00 ,890.00 ,12.00 ,3.00 ,5.00 ,30.00 ,LD
McDonald’s,Premium Caesar Salad with Crispy Chicken,330.00 ,17.00 ,4.50 ,60.00 ,840.00 ,20.00 ,3.00 ,6.00 ,26.00 ,LD
McDonald’s,Premium Caesar Salad (without chicken),90.00 ,4.00 ,2.50 ,10.00 ,180.00 ,9.00 ,3.00 ,4.00 ,7.00 ,LD
McDonald’s,Side Salad,20.00 ,0.00 ,0.00 ,0.00 ,10.00 ,4.00 ,1.00 ,2.00 ,1.00 ,S
McDonald’s,Snack Size Fruit & Walnut Salad,210.00 ,8.00 ,1.50 ,5.00 ,60.00 ,31.00 ,2.00 ,25.00 ,4.00 ,S
McDonald’s,Egg McMuffin®,300.00 ,12.00 ,5.00 ,260.00 ,820.00 ,30.00 ,2.00 ,3.00 ,18.00 ,B
McDonald’s,Sausage McMuffin®,370.00 ,22.00 ,8.00 ,45.00 ,850.00 ,29.00 ,2.00 ,2.00 ,14.00 ,B
McDonald’s,Sausage McMuffin® with Egg,450.00 ,27.00 ,10.00 ,285.00 ,920.00 ,30.00 ,2.00 ,2.00 ,21.00 ,B
McDonald’s,English Muffin,160.00 ,3.00 ,0.50 ,0.00 ,280.00 ,27.00 ,2.00 ,2.00 ,5.00 ,B
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.00 ,23.00 ,12.00 ,235.00 ,"1,160.00 ",37.00 ,2.00 ,3.00 ,15.00 ,B
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.00 ,27.00 ,12.00 ,235.00 ,"1,270.00 ",43.00 ,3.00 ,4.00 ,15.00 ,B
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510.00 ,33.00 ,14.00 ,250.00 ,"1,170.00 ",36.00 ,2.00 ,2.00 ,18.00 ,B
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570.00 ,37.00 ,15.00 ,250.00 ,"1,280.00 ",42.00 ,3.00 ,3.00 ,18.00 ,B
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430.00 ,27.00 ,12.00 ,30.00 ,"1,080.00 ",34.00 ,2.00 ,2.00 ,11.00 ,B
McDonald’s,Sausage Biscuit (Large Size Biscuit),480.00 ,31.00 ,13.00 ,30.00 ,"1,190.00 ",39.00 ,3.00 ,3.00 ,11.00 ,B
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410.00 ,20.00 ,8.00 ,30.00 ,"1,180.00 ",41.00 ,2.00 ,3.00 ,17.00 ,B
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470.00 ,24.00 ,9.00 ,30.00 ,"1,290.00 ",46.00 ,3.00 ,4.00 ,17.00 ,B
McDonald’s,"Steak, Egg & Cheese Bagel",660.00 ,33.00 ,12.00 ,300.00 ,"1,580.00 ",56.00 ,3.00 ,7.00 ,33.00 ,B
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420.00 ,18.00 ,8.00 ,240.00 ,"1,110.00 ",48.00 ,2.00 ,15.00 ,15.00 ,B
McDonald’s,"Sausage, Egg & Cheese McGriddles®",560.00 ,32.00 ,12.00 ,265.00 ,"1,360.00 ",48.00 ,2.00 ,15.00 ,20.00 ,B
McDonald’s,Sausage McGriddles®,420.00 ,22.00 ,8.00 ,35.00 ,"1,030.00 ",44.00 ,2.00 ,15.00 ,11.00 ,B
McDonald’s,Big Breakfast® (Regular Size Biscuit),740.00 ,48.00 ,17.00 ,555.00 ,"1,560.00 ",51.00 ,3.00 ,3.00 ,28.00 ,B
McDonald’s,Big Breakfast® (Large Size Biscuit),800.00 ,52.00 ,18.00 ,555.00 ,"1,680.00 ",56.00 ,4.00 ,3.00 ,28.00 ,B
McDonald’s,Big Breakfast with Hotcakes (Regular Size Biscuit),"1,090.00 ",56.00 ,19.00 ,575.00 ,"2,150.00 ",111.00 ,6.00 ,17.00 ,36.00 ,B
McDonald’s,Big Breakfast with Hotcakes (Large Size Biscuit),"1,150.00 ",60.00 ,20.00 ,575.00 ,"2,260.00 ",116.00 ,7.00 ,17.00 ,36.00 ,B
McDonald’s,Sausage Burrito,300.00 ,16.00 ,7.00 ,115.00 ,830.00 ,26.00 ,1.00 ,2.00 ,12.00 ,B
McDonald’s,McSkillet™ Burrito with Sausage,610.00 ,36.00 ,14.00 ,410.00 ,"1,390.00 ",44.00 ,3.00 ,4.00 ,27.00 ,B
McDonald’s,Hotcakes,350.00 ,9.00 ,2.00 ,20.00 ,590.00 ,60.00 ,3.00 ,14.00 ,8.00 ,B
McDonald’s,Hotcakes and Sausage,520.00 ,24.00 ,7.00 ,50.00 ,930.00 ,61.00 ,3.00 ,14.00 ,15.00 ,B
McDonald’s,Hash Brown,150.00 ,9.00 ,1.50 ,0.00 ,310.00 ,15.00 ,2.00 ,0.00 ,1.00 ,BS
McDonald’s,"Bacon, Egg & Cheese Bagel",560.00 ,27.00 ,9.00 ,260.00 ,"1,300.00 ",56.00 ,3.00 ,7.00 ,24.00 ,B
McDonald’s,Fruit & Maple Oatmeal,290.00 ,4.50 ,2.00 ,10.00 ,160.00 ,57.00 ,5.00 ,32.00 ,5.00 ,B
McDonald’s,Fruit & Maple Oatmeal without Brown Sugar,260.00 ,4.50 ,2.00 ,10.00 ,115.00 ,48.00 ,5.00 ,18.00 ,5.00 ,B
McDonald’s,Hamburger Happy Meal,475.00 ,16.00 ,5.5 g,40.00 ,690.00 ,62.00 ,2.00 ,20.00 ,22.00 ,LD
McDonald’s,4 Piece Chicken McNuggets Happy Meal,395.00 ,17.00 ,3.50 ,35.00 ,510.00 ,41.00 ,1.00 ,14.00 ,19.00 ,LD
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,475.00 ,22.00 ,4.50 ,50.00 ,680.00 ,46.00 ,2.00 ,14.00 ,24.00 ,LD
Burger King,Whopper® Sandwich,660.00 ,40.00 ,12.00 ,90.00 ,980.00 ,49.00 ,2.00 ,11.00 ,28.00 ,
Burger King,Whopper® Sandwich with Cheese,740.00 ,46.00 ,16.00 ,115.00 ,"1,340.00 ",50.00 ,2.00 ,11.00 ,32.00 ,
Burger King,Bacon & Cheese Whopper® Sandwich,790.00 ,51.00 ,17.00 ,125.00 ,"1,560.00 ",50.00 ,2.00 ,11.00 ,35.00 ,
Burger King,Double Whopper® Sandwich,900.00 ,58.00 ,20.00 ,175.00 ,"1,050.00 ",49.00 ,2.00 ,11.00 ,48.00 ,
Burger King,Double Whopper® Sandwich with Cheese,980.00 ,64.00 ,24.00 ,195.00 ,"1,410.00 ",50.00 ,2.00 ,11.00 ,52.00 ,
Burger King,Triple Whopper® Sandwich,"1,130.00 ",75.00 ,28.00 ,255.00 ,"1,120.00 ",49.00 ,2.00 ,11.00 ,67.00 ,
