Meal Names,Calories,Total Fat,Saturated Fat,Cholesterol,Protein,Carbs,Sodium,Fiber,Sugars
"Burger King - CROISSAN’WICH® Egg & Cheese, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Chips regular - Side, Subway - Kids Mini Sub Turkey Breast",1580.0,74.0,16.5,265.0,61.0,162.0,2020.0,14.0,10.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Guacomole (Side) - Top, McDonald’s - Fruit & Maple Oatmeal",1510.0,58.5,20.5,255.0,78.0,170.0,2110.0,21.0,37.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Side) - Top, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal",1655.0,69.5,24.0,255.0,80.0,168.0,2270.0,21.0,37.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips large - Side, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1940.0,77.0,17.5,195.0,71.0,240.0,2235.0,23.0,24.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side, Pizza Hut - Pan Pizza Slices Veggie Lover’s® Large",1725.0,79.0,14.0,105.0,52.0,208.0,1800.0,20.0,13.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro",1525.0,59.0,15.5,230.0,86.0,165.0,2170.0,23.0,20.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Carne Asada - Pro, Chipotle - Guacomole (Side) - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1580.0,73.5,26.0,265.0,88.0,148.0,2185.0,23.0,22.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Chips regular - Side, Pizza Hut - Pan Pizza Slices Buffalo Chicken Medium",1540.0,71.0,14.0,115.0,54.0,170.0,2160.0,12.0,11.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1525.0,48.0,17.5,195.0,79.0,186.0,2295.0,25.0,24.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips regular - Side, KFC - KENTUCKY FRIED WINGS Unsauced, McDonald’s - Hotcakes and Sausage",1620.0,76.0,18.5,180.0,57.0,178.0,2240.0,13.0,16.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1720.0,65.5,8.5,185.0,73.0,210.0,2235.0,21.0,23.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Wendy’s - Seasoned Home-Style Potatoes, Small",1655.0,73.0,18.0,185.0,63.0,181.0,2230.0,17.0,3.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top, McDonald’s - Fruit & Maple Oatmeal",1510.0,54.0,25.0,225.0,75.0,177.0,2300.0,20.0,40.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Cheese - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, Wendy’s - Seasoned Home-Style Potatoes, Medium",1765.0,74.5,9.5,235.0,84.0,194.0,2180.0,27.0,3.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chips large - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top",1850.0,78.0,18.0,250.0,77.0,215.0,1970.0,21.0,18.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, McDonald’s - Bacon, Egg & Cheese Biscuit (Regular Size Biscuit), Taco Bell - Nacho Cheese Doritos® Locos Taco – Specialties",1590.0,81.0,24.5,380.0,56.0,155.0,2270.0,16.0,6.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1615.0,63.0,13.5,155.0,63.0,196.0,2285.0,20.0,22.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1680.0,71.0,16.5,230.0,79.0,187.0,1595.0,21.0,20.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, McDonald’s - Hotcakes",1590.0,59.5,19.0,250.0,90.0,178.0,2130.0,28.0,22.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",1510.0,64.0,22.0,220.0,83.0,155.0,2170.0,18.0,19.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Chips large - Side, Dairy Queen - Grilled Chicken Garden Greens Salad, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1720.0,62.5,9.5,115.0,74.0,220.0,2175.0,31.0,27.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Guacomole - Top, McDonald’s - Fruit & Maple Oatmeal, Taco Bell - Chalupa Supreme® – Chicken",1600.0,78.5,13.5,170.0,69.0,162.0,2170.0,28.0,39.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chips large - Side, KFC - Chicken Drumstick, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1840.0,76.5,13.0,185.0,71.0,225.0,2105.0,26.0,21.0
"Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal, Pizza Hut - Hand Tossed Slices Ultimate Cheese Lover’s® Large",1590.0,58.0,12.0,170.0,67.0,208.0,2030.0,17.0,36.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Steak - Pro, Chipotle - Guacomole (Side) - Top, McDonald’s - Fruit & Maple Oatmeal",1515.0,71.0,20.0,185.0,68.0,147.0,2100.0,19.0,33.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1540.0,56.0,14.0,285.0,88.0,169.0,2115.0,22.0,26.0
"Burger King - Double Hamburger, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1845.0,79.0,20.5,145.0,64.0,221.0,1755.0,20.0,26.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Chips large - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, Sonic - Corn Dog",1760.0,78.0,13.0,125.0,55.0,213.0,1955.0,22.0,24.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Queso Blanco (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, McDonald’s - English Muffin",1550.0,70.0,23.5,230.0,86.0,138.0,2200.0,25.0,8.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chips regular - Side",1750.0,72.5,14.0,280.0,82.0,194.0,2190.0,18.0,19.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Guacomole - Top, McDonald’s - Fruit & Maple Oatmeal",1650.0,77.5,13.0,260.0,88.0,164.0,2080.0,28.0,36.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Chips regular - Side, Pizza Hut - Hand Tossed Slices Meat Lover’s® Medium",1530.0,58.5,11.5,115.0,59.0,194.0,2260.0,22.0,16.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, Taco Bell - Nachos BellGrande® – Steak",1500.0,60.5,16.0,105.0,55.0,186.0,2265.0,25.0,29.0
"Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal, Taco Bell - Nachos BellGrande® – Specialties",1565.0,58.5,12.5,115.0,57.0,203.0,2230.0,31.0,39.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Cheese - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Sofritas - Pro, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal",1780.0,71.5,8.5,165.0,69.0,226.0,2280.0,24.0,44.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, McDonald’s - English Muffin",1635.0,71.0,11.5,120.0,54.0,192.0,2190.0,20.0,10.0
"Burger King - CROISSAN’WICH® Bacon, Egg & Cheese, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Chips regular - Side, Pizza Hut - Hand Tossed Slices Hawaiian Chicken Small",1520.0,70.5,13.5,180.0,47.0,179.0,2190.0,23.0,12.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, McDonald’s - Hotcakes",1520.0,60.5,23.5,290.0,83.0,160.0,2120.0,15.0,22.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, Taco Bell - Cheesy Toasted Breakfast Burrito – Bacon",1750.0,77.0,12.5,350.0,86.0,178.0,2280.0,17.0,4.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal",1825.0,63.0,13.5,155.0,75.0,242.0,2250.0,28.0,39.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Queso Blanco (Entree) - Top, McDonald’s - Fruit & Maple Oatmeal",1520.0,57.0,16.0,200.0,86.0,167.0,2080.0,28.0,36.0
"Burger King - Double Hamburger, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1805.0,74.0,16.0,145.0,65.0,223.0,1835.0,21.0,26.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Cheese - Top, Chipotle - Chips regular - Side, McDonald’s - English Muffin",1725.0,76.0,12.5,250.0,86.0,172.0,2160.0,14.0,3.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1515.0,72.0,24.0,270.0,77.0,130.0,2155.0,11.0,22.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips large - Side, Sonic - Corn Dog",1700.0,74.0,20.5,180.0,62.0,205.0,2130.0,18.0,19.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Romaine Lettuce - Top, McDonald’s - English Muffin",1635.0,65.0,12.5,190.0,78.0,185.0,2290.0,17.0,5.0
"Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Side) - Top, McDonald’s - Fruit & Maple Oatmeal, Subway - Footlong Veggie Delite",1600.0,54.0,18.5,235.0,73.0,204.0,2210.0,18.0,48.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Romaine Lettuce - Top, McDonald’s - Sausage McMuffin®",1525.0,71.0,24.5,215.0,85.0,134.0,2280.0,26.0,6.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1690.0,63.0,13.5,180.0,71.0,208.0,2285.0,18.0,23.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Cheese - Top",1630.0,79.0,19.0,190.0,80.0,147.0,2250.0,18.0,19.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Cheese - Top, Chipotle - Queso Blanco (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal",1525.0,77.0,23.5,205.0,61.0,142.0,2070.0,14.0,41.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, Dairy Queen - Crispy Fish Sandwich, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1625.0,67.0,8.5,110.0,53.0,205.0,2045.0,19.0,26.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, McDonald’s - Sausage Biscuit with Egg (Regular Size Biscuit), Pizza Hut - Hand Tossed Slices Backyard BBQ Chicken Medium",1625.0,80.0,20.5,350.0,59.0,171.0,2280.0,16.0,9.0
"Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Romaine Lettuce - Top, Dairy Queen - 1/4 lb. Mushroom Swiss GrillBurger, McDonald’s - Fruit & Maple Oatmeal",1515.0,70.0,27.5,180.0,65.0,151.0,2280.0,11.0,41.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Chips regular - Side, Taco Bell - Chalupa Supreme® – Specialties",1540.0,62.5,10.5,110.0,56.0,190.0,1750.0,25.0,18.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal",1700.0,62.0,8.0,135.0,64.0,227.0,2210.0,22.0,38.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro, Chipotle - Chips regular - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carne Asada - Pro",1570.0,67.0,11.5,170.0,72.0,176.0,2220.0,19.0,17.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top, Taco Bell - Cheesy Toasted Breakfast Burrito – Fiesta Potato (V)",1500.0,82.0,32.0,330.0,75.0,108.0,2120.0,9.0,6.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1900.0,79.5,25.0,170.0,79.0,217.0,2205.0,25.0,24.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, McDonald’s - Hotcakes, McDonald’s - Premium Southwest Salad with Crispy Chicken",1780.0,78.0,14.5,195.0,67.0,203.0,2260.0,20.0,29.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1765.0,78.0,23.0,230.0,70.0,193.0,2215.0,21.0,22.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top",1555.0,81.0,31.5,240.0,71.0,129.0,2200.0,9.0,18.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips regular - Side",1755.0,75.5,17.0,280.0,89.0,191.0,2300.0,16.0,16.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Chips large - Side, KFC - KENTUCKY GRILLED CHICKEN Drumstick, McDonald’s - Hotcakes",1620.0,61.0,9.5,155.0,56.0,216.0,2230.0,17.0,18.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Chips large - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, McDonald’s - Fruit & Maple Oatmeal",1830.0,73.0,12.5,170.0,64.0,232.0,1960.0,26.0,35.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, KFC - Drumstick",1500.0,74.0,14.0,205.0,60.0,150.0,1980.0,11.0,11.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, McDonald’s - Hotcakes",1950.0,78.5,18.5,260.0,76.0,230.0,2260.0,23.0,21.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chips large - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, Taco Bell - Cheesy Bean & Rice Burrito",2000.0,76.5,13.5,140.0,69.0,265.0,2105.0,33.0,25.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Cheese - Top, McDonald’s - Fruit & Maple Oatmeal",1520.0,66.5,17.0,175.0,65.0,160.0,2140.0,20.0,40.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Chips regular - Side, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Romaine Lettuce - Top",1715.0,67.0,9.0,145.0,73.0,209.0,2240.0,26.0,15.0
