Combinations,Calories,Total Fat,Saturated Fat,Cholestorol,Protein,Carbs,Sodium,Fiber,Sugars
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Queso Blanco (Entree) - Top",495.0,24.0,10.5,110.0,29.0,38.0,1130.0,5.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Guacomole (Side) - Top",640.0,38.0,11.0,125.0,37.0,41.0,1180.0,10.0,1.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Chips regular - Side",1070.0,49.0,7.5,95.0,40.0,114.0,1380.0,8.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips regular - Side",1020.0,46.0,10.5,110.0,37.0,114.0,1160.0,10.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Cheese - Top",515.0,21.0,3.5,95.0,34.0,43.0,1460.0,4.0,1.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro",500.0,17.5,3.5,65.0,35.0,52.0,740.0,12.0,1.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Guacomole - Top",810.0,63.0,6.0,0.0,15.0,54.0,1300.0,18.0,7.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro",480.0,16.5,3.5,80.0,32.0,51.0,540.0,12.0,1.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Chips large - Side",1270.0,61.0,7.0,110.0,41.0,141.0,1110.0,15.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Cheese - Top",480.0,23.0,3.5,110.0,31.0,36.0,670.0,5.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Romaine Lettuce - Top",465.0,12.5,3.0,65.0,31.0,59.0,1210.0,6.0,4.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Chips large - Side",1330.0,50.5,7.0,125.0,55.0,171.0,1460.0,20.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Guacomole (Side) - Top",615.0,38.0,10.5,65.0,29.0,43.0,1160.0,10.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carne Asada - Pro, Chipotle - Sour Cream - Top",690.0,33.5,11.0,140.0,42.0,53.0,980.0,11.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top",430.0,13.0,3.5,65.0,29.0,47.0,1370.0,5.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top",480.0,24.0,3.5,95.0,33.0,32.0,720.0,4.0,0.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Romaine Lettuce - Top",505.0,17.5,3.5,65.0,35.0,53.0,740.0,13.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Chips regular - Side",1050.0,39.5,3.5,65.0,43.0,133.0,1320.0,17.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro",520.0,17.5,3.5,65.0,36.0,57.0,890.0,13.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",505.0,17.5,2.5,0.0,20.0,71.0,1220.0,12.0,9.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Sour Cream - Top",710.0,29.5,7.0,40.0,26.0,82.0,1400.0,14.0,8.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Guacomole - Top",860.0,60.0,7.5,125.0,40.0,50.0,1200.0,16.0,4.0
"Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",520.0,16.5,3.5,65.0,35.0,63.0,1490.0,7.0,6.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Queso Blanco (Entree) - Top",700.0,32.0,10.0,140.0,40.0,56.0,1370.0,4.0,1.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Sofritas - Pro, Chipotle - Cheese - Top",480.0,27.0,2.5,30.0,18.0,44.0,900.0,7.0,7.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Queso Blanco (Entree) - Top",585.0,32.0,13.0,130.0,37.0,38.0,1250.0,3.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips large - Side",1300.0,63.0,14.0,95.0,43.0,145.0,1370.0,15.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Side) - Top",650.0,39.0,14.0,125.0,36.0,36.0,940.0,3.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top",385.0,10.0,3.0,80.0,26.0,47.0,830.0,4.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Sofritas - Pro, Chipotle - Chips large - Side",1180.0,57.0,6.0,0.0,23.0,153.0,1300.0,18.0,9.0
"Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Chips regular - Side",960.0,39.0,3.5,80.0,36.0,119.0,1350.0,11.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top",530.0,27.0,13.0,105.0,29.0,38.0,670.0,2.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Chips regular - Side",940.0,41.0,3.5,65.0,34.0,108.0,1420.0,12.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Romaine Lettuce - Top",440.0,18.0,8.0,65.0,27.0,41.0,900.0,3.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Queso Blanco (Side) - Top",615.0,33.0,9.5,140.0,34.0,41.0,1370.0,5.0,3.0
