Combinations,Calories,Total Fat,Saturated Fat,Cholestorol,Protein,Carbs,Sodium,Fiber,Sugars
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",500.0,19.5,8.0,65.0,30.0,52.0,970.0,5.0,4.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top",485.0,24.0,3.5,95.0,33.0,33.0,720.0,5.0,0.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top",495.0,21.0,3.5,95.0,34.0,40.0,910.0,4.0,0.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Pinto Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro",620.0,16.5,3.0,80.0,38.0,77.0,1290.0,13.0,3.0
"Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Guacomole (Side) - Top, Chipotle - Queso Blanco (Entree) - Top",750.0,45.0,17.5,110.0,35.0,53.0,1430.0,9.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",375.0,10.0,3.0,80.0,25.0,45.0,940.0,2.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Romaine Lettuce - Top",410.0,13.0,3.5,65.0,28.0,43.0,1270.0,5.0,1.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Side) - Top",700.0,46.0,13.5,100.0,23.0,47.0,1080.0,6.0,9.0
"Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top",510.0,22.0,3.5,110.0,34.0,42.0,1000.0,3.0,0.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",590.0,19.0,4.0,125.0,46.0,67.0,850.0,13.0,6.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top",630.0,21.5,8.5,165.0,46.0,64.0,900.0,8.0,4.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Guacomole - Top",930.0,64.0,7.0,110.0,35.0,54.0,1450.0,15.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top",520.0,29.0,8.0,95.0,32.0,30.0,640.0,3.0,0.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro",370.0,15.0,3.5,80.0,25.0,35.0,480.0,5.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Romaine Lettuce - Top",465.0,17.5,4.0,125.0,38.0,46.0,640.0,7.0,4.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Queso Blanco (Entree) - Top",620.0,26.5,10.5,95.0,40.0,57.0,990.0,11.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",535.0,14.5,4.0,125.0,44.0,61.0,970.0,10.0,3.0
"Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro, Chipotle - Guacomole (Side) - Top",710.0,42.0,15.0,65.0,33.0,53.0,1450.0,9.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Cheese - Top, Chipotle - Guacomole (Side) - Top",720.0,46.0,11.0,155.0,43.0,38.0,870.0,9.0,1.0
"Chipotle - Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Queso Blanco (Entree) - Top",650.0,32.0,10.5,125.0,42.0,47.0,1450.0,3.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Sofritas - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top",410.0,16.0,2.5,0.0,13.0,54.0,1400.0,7.0,7.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",680.0,18.0,3.0,80.0,40.0,88.0,1470.0,15.0,5.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Romaine Lettuce - Top",495.0,17.5,2.5,0.0,20.0,67.0,960.0,14.0,6.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Guacomole - Top",960.0,61.5,7.0,65.0,39.0,68.0,1480.0,24.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Cheese - Top",540.0,28.5,2.5,30.0,20.0,55.0,1080.0,9.0,9.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top",580.0,27.0,8.0,150.0,33.0,44.0,900.0,2.0,2.0
"Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Cheese - Top",640.0,27.5,2.5,30.0,29.0,72.0,1440.0,12.0,7.0
"Chipotle - Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",610.0,17.0,3.5,80.0,39.0,78.0,1350.0,14.0,5.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",520.0,19.5,8.0,65.0,31.0,57.0,1120.0,6.0,6.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Queso Blanco (Side) - Top",690.0,41.0,12.0,160.0,42.0,37.0,1230.0,3.0,2.0
"Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top",520.0,23.0,10.5,110.0,33.0,45.0,1060.0,3.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Guacomole (Side) - Top",730.0,41.5,15.0,65.0,32.0,60.0,1340.0,11.0,5.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Queso Blanco (Entree) - Top",565.0,27.0,15.0,95.0,32.0,44.0,1440.0,3.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Guacomole (Side) - Top",610.0,37.0,10.5,80.0,26.0,42.0,1200.0,11.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top",530.0,26.0,8.0,95.0,33.0,37.0,830.0,2.0,0.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Chips regular - Side",1020.0,45.5,2.5,0.0,26.0,132.0,1160.0,21.0,7.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top",510.0,16.5,3.5,80.0,32.0,55.0,1040.0,13.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Sour Cream - Top",560.0,27.0,13.0,105.0,29.0,42.0,1170.0,3.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",530.0,24.5,6.0,100.0,35.0,46.0,1070.0,6.0,4.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Side) - Top",730.0,29.5,9.0,140.0,43.0,69.0,1380.0,10.0,3.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro",640.0,14.0,3.0,65.0,44.0,85.0,1300.0,17.0,3.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carne Asada - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Sour Cream - Top",585.0,27.0,10.5,140.0,35.0,47.0,1380.0,1.0,4.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chips regular - Side",980.0,38.5,3.5,80.0,35.0,126.0,1240.0,13.0,5.0
"Chipotle - Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Cheese - Top",610.0,30.0,6.0,130.0,42.0,42.0,1410.0,2.0,0.0
"Chipotle - Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Queso Blanco (Entree) - Top",520.0,27.0,9.5,30.0,20.0,53.0,1290.0,5.0,6.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro, Chipotle - Fresh Tomato Salsa - Top",425.0,13.0,3.5,65.0,29.0,47.0,1420.0,5.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips large - Side",1300.0,63.0,12.5,165.0,48.0,141.0,930.0,14.0,4.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro",660.0,22.5,7.5,65.0,39.0,72.0,1260.0,10.0,2.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top",615.0,25.0,8.5,165.0,42.0,53.0,940.0,4.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chips regular - Side",975.0,41.0,7.5,65.0,34.0,117.0,1450.0,8.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side",1195.0,54.0,7.5,125.0,46.0,140.0,900.0,15.0,2.0
"Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Sofritas - Pro",550.0,19.5,2.5,0.0,24.0,76.0,1400.0,13.0,9.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Side) - Top",740.0,34.0,9.5,185.0,50.0,57.0,1400.0,3.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chips large - Side",1300.0,60.5,11.5,65.0,40.0,155.0,1370.0,17.0,6.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Side) - Top",770.0,43.0,18.5,165.0,39.0,49.0,1320.0,1.0,4.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Chips large - Side",1210.0,54.0,7.5,125.0,47.0,144.0,1050.0,15.0,4.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Side) - Top",770.0,45.0,19.0,165.0,39.0,45.0,1160.0,2.0,4.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top",520.0,20.0,8.5,165.0,39.0,47.0,840.0,2.0,4.0
"Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top",450.0,14.0,3.5,80.0,29.0,50.0,1460.0,5.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Side) - Top",660.0,34.0,13.5,125.0,37.0,47.0,1290.0,1.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",630.0,19.0,7.5,65.0,38.0,77.0,1340.0,12.0,5.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carne Asada - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",475.0,20.0,6.0,100.0,33.0,41.0,1190.0,2.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Side) - Top, Chipotle - Chips regular - Side",1170.0,56.0,10.0,185.0,53.0,116.0,1380.0,9.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Cheese - Top",490.0,23.0,3.5,110.0,30.0,35.0,1020.0,5.0,0.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Cheese - Top",590.0,24.5,3.5,110.0,38.0,52.0,730.0,12.0,1.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Romaine Lettuce - Top",415.0,21.0,8.0,65.0,26.0,30.0,450.0,4.0,0.0
"Chipotle - Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Cheese - Top",640.0,27.5,2.5,30.0,29.0,71.0,1440.0,13.0,6.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Queso Blanco (Entree) - Top",510.0,19.0,10.0,110.0,30.0,49.0,1430.0,3.0,1.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Fresh Tomato Salsa - Top",565.0,22.5,8.0,65.0,34.0,55.0,1210.0,11.0,3.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",550.0,16.5,3.0,80.0,32.0,67.0,1260.0,7.0,4.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Romaine Lettuce - Top",415.0,16.0,4.0,125.0,35.0,34.0,810.0,5.0,0.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Guacomole (Side) - Top",690.0,46.0,15.5,120.0,28.0,40.0,730.0,10.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Guacomole (Side) - Top",605.0,41.0,9.5,0.0,13.0,50.0,1480.0,13.0,7.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Sour Cream - Top",545.0,30.0,13.0,105.0,28.0,35.0,1030.0,4.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",495.0,16.5,3.5,80.0,32.0,55.0,800.0,12.0,3.0
"Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Barbacoa - Pro",550.0,16.5,3.5,65.0,39.0,64.0,1220.0,10.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carne Asada - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side",1110.0,54.0,11.0,140.0,42.0,112.0,1350.0,9.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Sour Cream - Top",525.0,22.0,9.0,165.0,38.0,42.0,1080.0,3.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carne Asada - Pro, Chipotle - Sour Cream - Top, Chipotle - Guacomole (Side) - Top",800.0,51.0,18.0,140.0,37.0,47.0,1330.0,8.0,3.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Guacomole (Side) - Top",750.0,34.5,10.5,125.0,46.0,70.0,1240.0,14.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Chips regular - Side",945.0,41.0,4.0,125.0,42.0,106.0,1250.0,11.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Cheese - Top",485.0,20.0,3.5,110.0,31.0,42.0,970.0,3.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carne Asada - Pro, Chipotle - Chips regular - Side",1120.0,49.5,6.0,100.0,47.0,124.0,1340.0,18.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Sour Cream - Top",490.0,24.0,8.5,120.0,26.0,36.0,860.0,5.0,2.0
"Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top",600.0,29.0,15.0,95.0,36.0,49.0,1330.0,3.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Guacomole (Side) - Top",720.0,39.5,9.5,0.0,22.0,74.0,1330.0,19.0,7.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chips large - Side",1215.0,51.0,7.5,125.0,47.0,150.0,1350.0,13.0,4.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Guacomole (Side) - Top",630.0,38.0,10.5,65.0,29.0,43.0,1400.0,11.0,1.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",565.0,17.5,7.5,65.0,35.0,66.0,1270.0,8.0,4.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, Chipotle - Guacomole (Side) - Top",700.0,43.0,15.5,120.0,29.0,47.0,920.0,9.0,3.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top",475.0,20.0,3.5,110.0,31.0,39.0,710.0,4.0,0.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Black Beans - Top, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro",790.0,24.0,7.5,65.0,47.0,93.0,1470.0,18.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Chips regular - Side",950.0,41.0,4.0,125.0,42.0,106.0,1200.0,11.0,1.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Sofritas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",550.0,20.5,2.0,0.0,19.0,75.0,1490.0,9.0,9.0
"Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top",620.0,31.0,8.5,150.0,36.0,44.0,1030.0,3.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Chips large - Side",1300.0,51.5,7.0,80.0,44.0,168.0,1320.0,22.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carne Asada - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",485.0,23.0,6.0,100.0,33.0,39.0,1150.0,4.0,4.0
"Chipotle - Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",465.0,15.0,4.0,125.0,40.0,49.0,1200.0,3.0,4.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Carne Asada - Pro, Chipotle - Romaine Lettuce - Top",595.0,21.5,6.0,100.0,41.0,60.0,1140.0,10.0,2.0
"Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Romaine Lettuce - Top",420.0,14.0,3.5,80.0,28.0,46.0,1070.0,4.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Guacomole (Side) - Top",590.0,38.0,9.5,0.0,14.0,53.0,1120.0,11.0,6.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carne Asada - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top",575.0,28.0,6.0,130.0,39.0,39.0,1120.0,3.0,0.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",480.0,17.5,4.0,125.0,39.0,50.0,790.0,7.0,6.0
"Chipotle - Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top",490.0,20.0,8.0,65.0,30.0,44.0,1430.0,3.0,0.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Guacomole - Top",960.0,61.5,7.0,65.0,39.0,69.0,1480.0,23.0,4.0
"Chipotle - Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top",405.0,14.0,3.5,80.0,28.0,42.0,810.0,4.0,0.0
"Chipotle - Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top",570.0,29.0,13.0,105.0,32.0,42.0,960.0,2.0,2.0
"Chipotle - Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Guacomole (Side) - Top",760.0,37.5,10.5,80.0,38.0,70.0,1390.0,17.0,2.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Romaine Lettuce - Top",605.0,20.5,2.0,0.0,24.0,81.0,1370.0,15.0,6.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Queso Blanco (Entree) - Top",620.0,28.5,15.0,95.0,35.0,56.0,1220.0,5.0,5.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top",410.0,16.0,4.0,125.0,35.0,33.0,810.0,4.0,0.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips large - Side",1235.0,56.0,11.5,65.0,38.0,147.0,1230.0,14.0,2.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top",540.0,27.0,15.0,95.0,32.0,40.0,890.0,2.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Guacomole - Top",870.0,57.0,7.5,125.0,41.0,57.0,1390.0,15.0,4.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",505.0,15.5,2.0,0.0,20.0,74.0,1380.0,12.0,8.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Queso Blanco (Entree) - Top",590.0,23.5,11.0,155.0,44.0,56.0,1080.0,5.0,5.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Guacomole (Side) - Top",720.0,43.0,10.5,95.0,36.0,47.0,1280.0,9.0,1.0
"Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Sofritas - Pro",530.0,19.5,2.5,0.0,23.0,71.0,1250.0,12.0,7.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carne Asada - Pro, Chipotle - Guacomole (Side) - Top",700.0,45.0,13.0,100.0,35.0,43.0,1260.0,10.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Sour Cream - Top",590.0,29.5,7.5,40.0,21.0,62.0,800.0,13.0,9.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chips regular - Side",925.0,41.0,4.0,125.0,42.0,103.0,700.0,11.0,1.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Black Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro",640.0,17.5,3.0,65.0,41.0,79.0,1490.0,12.0,4.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",485.0,15.0,3.0,80.0,29.0,55.0,1190.0,4.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Romaine Lettuce - Top",385.0,15.0,3.5,80.0,24.0,35.0,830.0,6.0,0.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Guacomole - Top, Chipotle - Romaine Lettuce - Top",825.0,60.0,6.0,0.0,16.0,62.0,1490.0,18.0,7.0
"Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro",690.0,18.0,4.0,125.0,55.0,83.0,1210.0,17.0,3.0
